pop	pop_type	num_TP	out	coexist_length	mutate_TP	all	fixed_basal
319	del_mutL_srlD	8	1	13860	13859	361	0
319	del_mutL_srlD	8	1	13860	16169	262	6
319	del_mutL_srlD	8	1	13860	18480	456	100
319	del_mutL_srlD	8	1	13860	20789	0	0
320	del_araBAD	9	0	0	2079	6	4
320	del_araBAD	9	0	0	4620	11	0
320	del_araBAD	9	0	0	6929	7	0
320	del_araBAD	9	0	0	9240	2	0
320	del_araBAD	9	0	0	11549	5	0
320	del_araBAD	9	0	0	13859	58	0
320	del_araBAD	9	0	0	16169	9	0
320	del_araBAD	9	0	0	18480	47	0
320	del_araBAD	9	0	0	20789	0	0
321	del_mutL	9	1	13860	2079	21	19
321	del_mutL	9	1	13860	4620	1203	4
321	del_mutL	9	1	13860	6929	243	0
321	del_mutL	9	1	13860	9240	100	0
321	del_mutL	9	1	13860	11549	847	0
321	del_mutL	9	1	13860	13859	1313	0
321	del_mutL	9	1	13860	16169	948	24
321	del_mutL	9	1	13860	18480	387	0
321	del_mutL	9	1	13860	20789	0	0
322	del_srlD	8	1	16169	2079	6	5
322	del_srlD	8	1	16169	4620	71	0
322	del_srlD	8	1	16169	9240	10	0
322	del_srlD	8	1	16169	11549	75	0
322	del_srlD	8	1	16169	13859	54	0
322	del_srlD	8	1	16169	16169	36	0
322	del_srlD	8	1	16169	18480	92	0
322	del_srlD	8	1	16169	20789	0	0
323	del_mutL_araBAD	8	1	13860	2079	62	35
323	del_mutL_araBAD	8	1	13860	4620	564	1
323	del_mutL_araBAD	8	1	13860	6929	167	2
323	del_mutL_araBAD	8	1	13860	11549	536	0
323	del_mutL_araBAD	8	1	13860	13859	332	7
323	del_mutL_araBAD	8	1	13860	16169	370	71
323	del_mutL_araBAD	8	1	13860	18480	354	0
323	del_mutL_araBAD	8	1	13860	20789	0	0
324	wt	9	1	4621	2079	21	5
324	wt	9	1	4621	4620	11	5
324	wt	9	1	4621	6929	4	4
324	wt	9	1	4621	9240	5	5
324	wt	9	1	4621	11549	2	2
324	wt	9	1	4621	13859	42	0
324	wt	9	1	4621	16169	26	0
324	wt	9	1	4621	18480	30	0
324	wt	9	1	4621	20789	0	0
401	wt	9	1	165	29	12	11
401	wt	9	1	165	66	6	6
