pop	pop_type	num_TP	out	coexist_length	mut_type	mut_count	total_mut_count	fixed_count	total_fixed_count
217	del_srlD	8	1	9240	noncoding	30	5932	2	607
217	del_srlD	8	1	9240	pseudogene	367	5932	42	607
217	del_srlD	8	1	9240	intergenic	801	5932	58	607
217	del_srlD	8	1	9240	indel	148	5932	29	607
217	del_srlD	8	1	9240	sv	30	5932	6	607
218	del_mutL_araBAD	8	1	9240	synonymous	1412	5305	188	709
218	del_mutL_araBAD	8	1	9240	nonsynonymous	2769	5305	389	709
218	del_mutL_araBAD	8	1	9240	nonsense	57	5305	3	709
218	del_mutL_araBAD	8	1	9240	noncoding	21	5305	2	709
218	del_mutL_araBAD	8	1	9240	pseudogene	203	5305	22	709
218	del_mutL_araBAD	8	1	9240	intergenic	642	5305	74	709
218	del_mutL_araBAD	8	1	9240	indel	178	5305	26	709
218	del_mutL_araBAD	8	1	9240	sv	23	5305	5	709
219	del_mutL_srlD	8	1	9240	synonymous	1346	4679	340	1184
219	del_mutL_srlD	8	1	9240	nonsynonymous	2162	4679	561	1184
219	del_mutL_srlD	8	1	9240	nonsense	46	4679	6	1184
219	del_mutL_srlD	8	1	9240	noncoding	15	4679	2	1184
219	del_mutL_srlD	8	1	9240	pseudogene	308	4679	68	1184
219	del_mutL_srlD	8	1	9240	intergenic	590	4679	125	1184
219	del_mutL_srlD	8	1	9240	indel	185	4679	76	1184
219	del_mutL_srlD	8	1	9240	sv	27	4679	6	1184
220	del_araBAD	8	1	6600	synonymous	116	796	3	42
220	del_araBAD	8	1	6600	nonsynonymous	263	796	15	42
220	del_araBAD	8	1	6600	nonsense	22	796	4	42
220	del_araBAD	8	1	6600	noncoding	17	796	0	42
220	del_araBAD	8	1	6600	pseudogene	87	796	1	42
220	del_araBAD	8	1	6600	intergenic	205	796	5	42
220	del_araBAD	8	1	6600	indel	49	796	3	42
220	del_araBAD	8	1	6600	sv	37	796	11	42
221	del_mutL	9	1	9240	synonymous	1405	5257	289	1042
221	del_mutL	9	1	9240	nonsynonymous	2717	5257	540	1042
221	del_mutL	9	1	9240	nonsense	56	5257	8	1042
221	del_mutL	9	1	9240	noncoding	25	5257	0	1042
221	del_mutL	9	1	9240	pseudogene	188	5257	28	1042
221	del_mutL	9	1	9240	intergenic	656	5257	97	1042
221	del_mutL	9	1	9240	indel	183	5257	76	1042
221	del_mutL	9	1	9240	sv	27	5257	4	1042
222	del_srlD	8	1	6600	synonymous	176	817	29	92
222	del_srlD	8	1	6600	nonsynonymous	226	817	10	92
222	del_srlD	8	1	6600	nonsense	12	817	0	92
222	del_srlD	8	1	6600	noncoding	10	817	0	92
222	del_srlD	8	1	6600	pseudogene	173	817	34	92
222	del_srlD	8	1	6600	intergenic	132	817	9	92
222	del_srlD	8	1	6600	indel	48	817	4	92
222	del_srlD	8	1	6600	sv	40	817	6	92
223	del_mutL_araBAD	8	1	7920	synonymous	1384	5051	373	1354
223	del_mutL_araBAD	8	1	7920	nonsynonymous	2547	5051	686	1354
223	del_mutL_araBAD	8	1	7920	nonsense	66	5051	12	1354
223	del_mutL_araBAD	8	1	7920	noncoding	40	5051	7	1354
223	del_mutL_araBAD	8	1	7920	pseudogene	195	5051	47	1354
223	del_mutL_araBAD	8	1	7920	intergenic	585	5051	131	1354
223	del_mutL_araBAD	8	1	7920	indel	205	5051	87	1354
223	del_mutL_araBAD	8	1	7920	sv	29	5051	11	1354
