pop	pop_type	num_TP	out	coexist_length	mut_type	mut_count	total_mut_count	fixed_count	total_fixed_count
215	del_araBAD	9	-1	0	nonsense	20	897	0	0
215	del_araBAD	9	-1	0	noncoding	18	897	0	0
215	del_araBAD	9	-1	0	pseudogene	84	897	0	0
215	del_araBAD	9	-1	0	intergenic	247	897	0	0
215	del_araBAD	9	-1	0	indel	31	897	0	0
215	del_araBAD	9	-1	0	sv	56	897	0	0
216	del_mutL	9	1	9240	synonymous	1777	7861	0	8
216	del_mutL	9	1	9240	nonsynonymous	4444	7861	1	8
216	del_mutL	9	1	9240	nonsense	119	7861	0	8
216	del_mutL	9	1	9240	noncoding	38	7861	0	8
216	del_mutL	9	1	9240	pseudogene	352	7861	0	8
216	del_mutL	9	1	9240	intergenic	987	7861	0	8
216	del_mutL	9	1	9240	indel	120	7861	7	8
216	del_mutL	9	1	9240	sv	24	7861	0	8
217	del_srlD	8	1	9240	synonymous	1404	5932	0	16
217	del_srlD	8	1	9240	nonsynonymous	3054	5932	0	16
217	del_srlD	8	1	9240	nonsense	98	5932	0	16
217	del_srlD	8	1	9240	noncoding	30	5932	0	16
217	del_srlD	8	1	9240	pseudogene	367	5932	0	16
217	del_srlD	8	1	9240	intergenic	801	5932	1	16
217	del_srlD	8	1	9240	indel	148	5932	15	16
217	del_srlD	8	1	9240	sv	30	5932	0	16
218	del_mutL_araBAD	8	1	9240	synonymous	1412	5305	0	19
218	del_mutL_araBAD	8	1	9240	nonsynonymous	2769	5305	2	19
218	del_mutL_araBAD	8	1	9240	nonsense	57	5305	0	19
218	del_mutL_araBAD	8	1	9240	noncoding	21	5305	0	19
218	del_mutL_araBAD	8	1	9240	pseudogene	203	5305	0	19
218	del_mutL_araBAD	8	1	9240	intergenic	642	5305	1	19
218	del_mutL_araBAD	8	1	9240	indel	178	5305	16	19
218	del_mutL_araBAD	8	1	9240	sv	23	5305	0	19
219	del_mutL_srlD	8	1	9240	synonymous	1346	4679	0	76
219	del_mutL_srlD	8	1	9240	nonsynonymous	2162	4679	2	76
219	del_mutL_srlD	8	1	9240	nonsense	46	4679	0	76
219	del_mutL_srlD	8	1	9240	noncoding	15	4679	0	76
219	del_mutL_srlD	8	1	9240	pseudogene	308	4679	0	76
219	del_mutL_srlD	8	1	9240	intergenic	590	4679	2	76
219	del_mutL_srlD	8	1	9240	indel	185	4679	72	76
219	del_mutL_srlD	8	1	9240	sv	27	4679	0	76
220	del_araBAD	8	1	6600	synonymous	116	796	0	9
220	del_araBAD	8	1	6600	nonsynonymous	263	796	1	9
220	del_araBAD	8	1	6600	nonsense	22	796	1	9
220	del_araBAD	8	1	6600	noncoding	17	796	0	9
220	del_araBAD	8	1	6600	pseudogene	87	796	0	9
220	del_araBAD	8	1	6600	intergenic	205	796	2	9
220	del_araBAD	8	1	6600	indel	49	796	5	9
220	del_araBAD	8	1	6600	sv	37	796	0	9
221	del_mutL	9	1	9240	synonymous	1405	5257	3	80
221	del_mutL	9	1	9240	nonsynonymous	2717	5257	11	80
221	del_mutL	9	1	9240	nonsense	56	5257	0	80
221	del_mutL	9	1	9240	noncoding	25	5257	0	80
221	del_mutL	9	1	9240	pseudogene	188	5257	0	80
221	del_mutL	9	1	9240	intergenic	656	5257	2	80
221	del_mutL	9	1	9240	indel	183	5257	64	80
221	del_mutL	9	1	9240	sv	27	5257	0	80
222	del_srlD	8	1	6600	synonymous	176	817	0	4
222	del_srlD	8	1	6600	nonsynonymous	226	817	0	4
222	del_srlD	8	1	6600	nonsense	12	817	0	4
222	del_srlD	8	1	6600	noncoding	10	817	0	4
222	del_srlD	8	1	6600	pseudogene	173	817	0	4
222	del_srlD	8	1	6600	intergenic	132	817	1	4
222	del_srlD	8	1	6600	indel	48	817	2	4
222	del_srlD	8	1	6600	sv	40	817	1	4
223	del_mutL_araBAD	8	1	7920	synonymous	1384	5051	0	82
223	del_mutL_araBAD	8	1	7920	nonsynonymous	2547	5051	2	82
223	del_mutL_araBAD	8	1	7920	nonsense	66	5051	0	82
223	del_mutL_araBAD	8	1	7920	noncoding	40	5051	2	82
223	del_mutL_araBAD	8	1	7920	pseudogene	195	5051	2	82
223	del_mutL_araBAD	8	1	7920	intergenic	585	5051	1	82
223	del_mutL_araBAD	8	1	7920	indel	205	5051	75	82
223	del_mutL_araBAD	8	1	7920	sv	29	5051	0	82
224	wt	0	-1	0	synonymous	0	0	0	0
224	wt	0	-1	0	nonsynonymous	0	0	0	0
224	wt	0	-1	0	nonsense	0	0	0	0
224	wt	0	-1	0	noncoding	0	0	0	0
224	wt	0	-1	0	pseudogene	0	0	0	0
224	wt	0	-1	0	intergenic	0	0	0	0
224	wt	0	-1	0	indel	0	0	0	0
224	wt	0	-1	0	sv	0	0	0	0
301	wt	9	0	0	synonymous	158	837	2	25
301	wt	9	0	0	nonsynonymous	284	837	5	25
301	wt	9	0	0	nonsense	9	837	0	25
301	wt	9	0	0	noncoding	14	837	0	25
301	wt	9	0	0	pseudogene	70	837	2	25
301	wt	9	0	0	intergenic	242	837	3	25
301	wt	9	0	0	indel	35	837	1	25
301	wt	9	0	0	sv	25	837	12	25
302	del_mutL_srlD	9	1	9239	synonymous	1197	4525	251	985
302	del_mutL_srlD	9	1	9239	nonsynonymous	2052	4525	468	985
302	del_mutL_srlD	9	1	9239	nonsense	46	4525	7	985
302	del_mutL_srlD	9	1	9239	noncoding	26	4525	1	985
302	del_mutL_srlD	9	1	9239	pseudogene	305	4525	35	985
302	del_mutL_srlD	9	1	9239	intergenic	650	4525	91	985
302	del_mutL_srlD	9	1	9239	indel	234	4525	129	985
302	del_mutL_srlD	9	1	9239	sv	15	4525	3	985
303	del_araBAD	9	1	16169	synonymous	244	1293	0	3
303	del_araBAD	9	1	16169	nonsynonymous	342	1293	0	3
303	del_araBAD	9	1	16169	nonsense	32	1293	0	3
303	del_araBAD	9	1	16169	noncoding	27	1293	0	3
303	del_araBAD	9	1	16169	pseudogene	221	1293	0	3
303	del_araBAD	9	1	16169	intergenic	348	1293	1	3
303	del_araBAD	9	1	16169	indel	42	1293	1	3
303	del_araBAD	9	1	16169	sv	37	1293	1	3
304	del_mutL	8	0	0	synonymous	1292	4478	407	1426
304	del_mutL	8	0	0	nonsynonymous	2207	4478	746	1426
304	del_mutL	8	0	0	nonsense	25	4478	2	1426
304	del_mutL	8	0	0	noncoding	14	4478	1	1426
304	del_mutL	8	0	0	pseudogene	203	4478	38	1426
304	del_mutL	8	0	0	intergenic	502	4478	129	1426
304	del_mutL	8	0	0	indel	220	4478	101	1426
304	del_mutL	8	0	0	sv	15	4478	2	1426
305	del_srlD	6	0	0	synonymous	156	810	1	31
305	del_srlD	6	0	0	nonsynonymous	194	810	12	31
305	del_srlD	6	0	0	nonsense	12	810	0	31
305	del_srlD	6	0	0	noncoding	19	810	0	31
305	del_srlD	6	0	0	pseudogene	196	810	0	31
305	del_srlD	6	0	0	intergenic	180	810	5	31
305	del_srlD	6	0	0	indel	23	810	1	31
305	del_srlD	6	0	0	sv	30	810	12	31
306	del_mutL_araBAD	9	0	0	synonymous	1852	6986	1	17
306	del_mutL_araBAD	9	0	0	nonsynonymous	3514	6986	3	17
306	del_mutL_araBAD	9	0	0	nonsense	63	6986	0	17
306	del_mutL_araBAD	9	0	0	noncoding	41	6986	1	17
306	del_mutL_araBAD	9	0	0	pseudogene	287	6986	0	17
306	del_mutL_araBAD	9	0	0	intergenic	859	6986	2	17
306	del_mutL_araBAD	9	0	0	indel	349	6986	10	17
306	del_mutL_araBAD	9	0	0	sv	21	6986	0	17
307	del_mutL_srlD	2	-1	0	synonymous	252	961	0	0
307	del_mutL_srlD	2	-1	0	nonsynonymous	472	961	0	0
307	del_mutL_srlD	2	-1	0	nonsense	4	961	0	0
307	del_mutL_srlD	2	-1	0	noncoding	6	961	0	0
307	del_mutL_srlD	2	-1	0	pseudogene	100	961	0	0
307	del_mutL_srlD	2	-1	0	intergenic	97	961	0	0
307	del_mutL_srlD	2	-1	0	indel	26	961	0	0
307	del_mutL_srlD	2	-1	0	sv	4	961	0	0
308	del_araBAD	9	1	9240	synonymous	150	805	0	13
308	del_araBAD	9	1	9240	nonsynonymous	257	805	4	13
308	del_araBAD	9	1	9240	nonsense	12	805	0	13
308	del_araBAD	9	1	9240	noncoding	19	805	0	13
308	del_araBAD	9	1	9240	pseudogene	87	805	0	13
308	del_araBAD	9	1	9240	intergenic	189	805	4	13
308	del_araBAD	9	1	9240	indel	63	805	2	13
308	del_araBAD	9	1	9240	sv	28	805	3	13
309	del_mutL	9	1	2311	synonymous	1307	4925	120	507
309	del_mutL	9	1	2311	nonsynonymous	2434	4925	243	507
309	del_mutL	9	1	2311	nonsense	51	4925	2	507
309	del_mutL	9	1	2311	noncoding	51	4925	3	507
309	del_mutL	9	1	2311	pseudogene	196	4925	16	507
309	del_mutL	9	1	2311	intergenic	657	4925	40	507
309	del_mutL	9	1	2311	indel	212	4925	83	507
