"pop" "pop_type" "day" "num_fixed_basal" "num_fixed_major_minor" "ratio"
"351" 323 "del_mutL_araBAD" 800 72 223 0.24406779661017
"737" 323 "del_mutL_araBAD" 900 0 24 0
"60" 324 "wt" 200 3 0 1
"168" 324 "wt" 400 11 0 1
"230" 324 "wt" 500 4 0 1
"259" 324 "wt" 600 3 0 1
"675" 324 "wt" 700 0 13 0
"717" 324 "wt" 800 0 4 0
"751" 324 "wt" 900 0 2 0
"61" 401 "wt" 200 11 0 1
"116" 401 "wt" 300 6 0 1
"169" 401 "wt" 400 3 0 1
"231" 401 "wt" 500 4 0 1
"633" 401 "wt" 600 0 15 0
"676" 401 "wt" 700 0 12 0
"718" 401 "wt" 800 0 6 0
"752" 401 "wt" 900 0 18 0
"42" 402 "del_mutL_srlD" 200 50 0 1
"104" 402 "del_mutL_srlD" 300 20 0 1
"158" 402 "del_mutL_srlD" 400 3 0 1
"218" 402 "del_mutL_srlD" 500 43 0 1
"251" 402 "del_mutL_srlD" 600 53 1 0.981481481481482
"308" 402 "del_mutL_srlD" 700 1 4 0.2
"700" 402 "del_mutL_srlD" 800 0 3 0
"424" 402 "del_mutL_srlD" 900 7 200 0.0338164251207729
"86" 403 "del_araBAD" 300 16 0 1
"141" 403 "del_araBAD" 400 1 6 0.142857142857143
"550" 403 "del_araBAD" 500 0 23 0
"278" 403 "del_araBAD" 700 1 32 0.0303030303030303
"683" 403 "del_araBAD" 800 0 24 0
"391" 403 "del_araBAD" 900 1 53 0.0185185185185185
"18" 404 "del_mutL" 200 28 0 1
"476" 404 "del_mutL" 300 0 40 0
"515" 404 "del_mutL" 400 0 14 0
"557" 404 "del_mutL" 500 0 145 0
"241" 404 "del_mutL" 600 1 203 0.00490196078431373
"287" 404 "del_mutL" 700 1 58 0.0169491525423729
"339" 404 "del_mutL" 800 3 351 0.00847457627118644
"734" 404 "del_mutL" 900 0 150 0
"50" 405 "del_srlD" 200 7 0 1
"109" 405 "del_srlD" 300 6 10 0.375
"163" 405 "del_srlD" 400 4 0 1
"312" 405 "del_srlD" 700 3 0 1
"373" 405 "del_srlD" 800 5 113 0.0423728813559322
"430" 405 "del_srlD" 900 16 147 0.098159509202454
"31" 406 "del_mutL_araBAD" 200 36 0 1
"99" 406 "del_mutL_araBAD" 300 9 11 0.45
"151" 406 "del_mutL_araBAD" 400 5 28 0.151515151515152
"565" 406 "del_mutL_araBAD" 500 0 40 0
"244" 406 "del_mutL_araBAD" 600 4 45 0.0816326530612245
"299" 406 "del_mutL_araBAD" 700 9 231 0.0375
"352" 406 "del_mutL_araBAD" 800 9 170 0.0502793296089385
"738" 406 "del_mutL_araBAD" 900 0 9 0
"43" 407 "del_mutL_srlD" 200 24 0 1
"105" 407 "del_mutL_srlD" 300 4 28 0.125
"532" 407 "del_mutL_srlD" 400 0 11 0
"219" 407 "del_mutL_srlD" 500 4 15 0.210526315789474
"659" 407 "del_mutL_srlD" 700 0 61 0
"367" 407 "del_mutL_srlD" 800 1 189 0.00526315789473684
"425" 407 "del_mutL_srlD" 900 6 142 0.0405405405405405
"11" 408 "del_araBAD" 200 4 0 1
"551" 408 "del_araBAD" 500 0 85 0
"593" 408 "del_araBAD" 600 0 26 0
"645" 408 "del_araBAD" 700 0 49 0
"684" 408 "del_araBAD" 800 0 74 0
"392" 408 "del_araBAD" 900 2 166 0.0119047619047619
"19" 409 "del_mutL" 200 32 0 1
"477" 409 "del_mutL" 300 0 55 0
"202" 409 "del_mutL" 500 2 34 0.0555555555555556
"602" 409 "del_mutL" 600 0 39 0
"288" 409 "del_mutL" 700 2 68 0.0285714285714286
"340" 409 "del_mutL" 800 1 107 0.00925925925925926
"401" 409 "del_mutL" 900 17 60 0.220779220779221
"51" 410 "del_srlD" 200 2 0 1
"110" 410 "del_srlD" 300 14 15 0.482758620689655
"164" 410 "del_srlD" 400 5 2 0.714285714285714
"579" 410 "del_srlD" 500 0 17 0
"313" 410 "del_srlD" 700 4 44 0.0833333333333333
"374" 410 "del_srlD" 800 15 43 0.258620689655172
"431" 410 "del_srlD" 900 59 91 0.393333333333333
"32" 411 "del_mutL_araBAD" 200 9 0 1
"152" 411 "del_mutL_araBAD" 400 1 0 1
"210" 411 "del_mutL_araBAD" 500 112 43 0.72258064516129
"245" 411 "del_mutL_araBAD" 600 14 49 0.222222222222222
"300" 411 "del_mutL_araBAD" 700 1 25 0.0384615384615385
"353" 411 "del_mutL_araBAD" 800 8 73 0.0987654320987654
"412" 411 "del_mutL_araBAD" 900 2 122 0.0161290322580645
"62" 412 "wt" 200 3 0 1
"260" 412 "wt" 600 7 0 1
"319" 412 "wt" 700 1 0 1
"435" 412 "wt" 900 2 27 0.0689655172413793
"63" 413 "wt" 200 3 0 1
"117" 413 "wt" 300 25 0 1
"232" 413 "wt" 500 35 0 1
"261" 413 "wt" 600 37 0 1
"320" 413 "wt" 700 1 2 0.333333333333333
"384" 413 "wt" 800 34 8 0.80952380952381
"436" 413 "wt" 900 306 5 0.983922829581994
"44" 414 "del_mutL_srlD" 200 22 0 1
